Event,2km,f
OC,321.5,00:05:21.5
5,0.725,00:07:23.5
6,0.7579,00:07:04.2
7,0.7886,00:06:47.7
8,0.8171,00:06:33.5
9,0.8434,00:06:21.2
10,0.8675,00:06:10.6
11,0.8894,00:06:01.5
12,0.9091,00:05:53.7
13,0.9266,00:05:47.0
14,0.9419,00:05:41.3
15,0.955,00:05:36.6
16,0.967,00:05:32.5
17,0.979,00:05:28.4
18,0.9893,00:05:25.0
19,0.9961,00:05:22.8
20,0.9996,00:05:21.6
21,1,00:05:21.5
22,1,00:05:21.5
23,1,00:05:21.5
24,1,00:05:21.5
25,1,00:05:21.5
26,1,00:05:21.5
27,1,00:05:21.5
28,1,00:05:21.5
29,0.9999,00:05:21.5
30,0.9991,00:05:21.8
31,0.9976,00:05:22.3
32,0.9953,00:05:23.0
33,0.9923,00:05:24.0
34,0.9885,00:05:25.2
35,0.984,00:05:26.7
36,0.9787,00:05:28.5
37,0.9727,00:05:30.5
38,0.9659,00:05:32.8
39,0.9584,00:05:35.5
40,0.9501,00:05:38.4
41,0.9411,00:05:41.6
42,0.9313,00:05:45.2
43,0.9208,00:05:49.2
44,0.91,00:05:53.3
45,0.8992,00:05:57.5
46,0.8885,00:06:01.8
47,0.8777,00:06:06.3
48,0.867,00:06:10.8
49,0.8562,00:06:15.5
50,0.8454,00:06:20.3
51,0.8347,00:06:25.2
52,0.8239,00:06:30.2
53,0.8132,00:06:35.3
54,0.8024,00:06:40.7
55,0.7916,00:06:46.1
56,0.7809,00:06:51.7
57,0.7701,00:06:57.5
58,0.7594,00:07:03.4
59,0.7486,00:07:09.5
60,0.7378,00:07:15.8
61,0.7271,00:07:22.2
62,0.7163,00:07:28.8
63,0.7056,00:07:35.6
64,0.6948,00:07:42.7
65,0.684,00:07:50.0
66,0.6733,00:07:57.5
67,0.6625,00:08:05.3
68,0.6518,00:08:13.2
69,0.641,00:08:21.6
70,0.6302,00:08:30.2
71,0.6195,00:08:39.0
72,0.6087,00:08:48.2
73,0.598,00:08:57.6
74,0.5872,00:09:07.5
75,0.5764,00:09:17.8
76,0.5657,00:09:28.3
77,0.5549,00:09:39.4
78,0.5442,00:09:50.8
79,0.5334,00:10:02.7
80,0.5225,00:10:15.3
81,0.5106,00:10:29.6
82,0.4976,00:10:46.1
83,0.4834,00:11:05.1
84,0.4682,00:11:26.7
85,0.4517,00:11:51.8
86,0.4341,00:12:20.6
87,0.4154,00:12:54.0
88,0.3956,00:13:32.7
89,0.3746,00:14:18.3
90,0.3524,00:15:12.3
91,0.3292,00:16:16.6
92,0.3047,00:17:35.1
93,0.2792,00:19:11.5
94,0.2525,00:21:13.3
95,0.2246,00:23:51.4
96,0.1957,00:27:22.8
97,0.1655,00:32:22.6
98,0.1343,00:39:53.9
99,0.1019,00:52:35.0
100,0.0684,001:18:20.3